X=150.000 Y=-0.000 Z=120.000,X=0.000 Y=0.000 Z=1.000,X=0.323 Y=0.563,(R=255,G=255,B=255,A=255)
X=150.000 Y=200.000 Z=120.000,X=0.000 Y=0.000 Z=1.000,X=0.323 Y=0.993,(R=255,G=255,B=255,A=255)
X=180.000 Y=200.000 Z=120.000,X=0.000 Y=0.000 Z=1.000,X=0.347 Y=0.993,(R=255,G=255,B=255,A=255)
X=180.000 Y=-0.000 Z=120.000,X=0.000 Y=0.000 Z=1.000,X=0.347 Y=0.563,(R=255,G=255,B=255,A=255)
X=0.000 Y=-0.000 Z=0.000,X=-1.000 Y=0.000 Z=0.000,X=0.006 Y=0.563,(R=255,G=255,B=255,A=255)
X=0.000 Y=200.000 Z=0.000,X=-1.000 Y=0.000 Z=0.000,X=0.006 Y=0.993,(R=255,G=255,B=255,A=255)
X=0.000 Y=200.000 Z=20.000,X=-1.000 Y=0.000 Z=0.000,X=0.046 Y=0.993,(R=255,G=255,B=255,A=255)
X=0.000 Y=-0.000 Z=20.000,X=-1.000 Y=0.000 Z=0.000,X=0.046 Y=0.563,(R=255,G=255,B=255,A=255)
X=0.000 Y=-0.000 Z=20.000,X=0.000 Y=0.000 Z=1.000,X=0.046 Y=0.563,(R=255,G=255,B=255,A=255)
X=0.000 Y=200.000 Z=20.000,X=0.000 Y=0.000 Z=1.000,X=0.046 Y=0.993,(R=255,G=255,B=255,A=255)
X=30.000 Y=200.000 Z=20.000,X=0.000 Y=0.000 Z=1.000,X=0.080 Y=0.993,(R=255,G=255,B=255,A=255)
X=30.000 Y=-0.000 Z=20.000,X=0.000 Y=0.000 Z=1.000,X=0.080 Y=0.563,(R=255,G=255,B=255,A=255)
X=30.000 Y=-0.000 Z=40.000,X=0.000 Y=0.000 Z=1.000,X=0.120 Y=0.563,(R=255,G=255,B=255,A=255)
X=30.000 Y=200.000 Z=40.000,X=0.000 Y=0.000 Z=1.000,X=0.120 Y=0.993,(R=255,G=255,B=255,A=255)
X=60.000 Y=200.000 Z=40.000,X=0.000 Y=0.000 Z=1.000,X=0.156 Y=0.993,(R=255,G=255,B=255,A=255)
X=60.000 Y=-0.000 Z=40.000,X=0.000 Y=0.000 Z=1.000,X=0.156 Y=0.563,(R=255,G=255,B=255,A=255)
X=60.000 Y=-0.000 Z=60.000,X=0.000 Y=0.000 Z=1.000,X=0.192 Y=0.563,(R=255,G=255,B=255,A=255)
X=60.000 Y=200.000 Z=60.000,X=0.000 Y=0.000 Z=1.000,X=0.192 Y=0.993,(R=255,G=255,B=255,A=255)
X=90.000 Y=200.000 Z=60.000,X=0.000 Y=0.000 Z=1.000,X=0.219 Y=0.993,(R=255,G=255,B=255,A=255)
X=90.000 Y=-0.000 Z=60.000,X=0.000 Y=0.000 Z=1.000,X=0.219 Y=0.563,(R=255,G=255,B=255,A=255)
X=90.000 Y=-0.000 Z=80.000,X=0.000 Y=0.000 Z=1.000,X=0.244 Y=0.563,(R=255,G=255,B=255,A=255)
X=90.000 Y=200.000 Z=80.000,X=0.000 Y=0.000 Z=1.000,X=0.244 Y=0.993,(R=255,G=255,B=255,A=255)
X=120.000 Y=200.000 Z=80.000,X=0.000 Y=0.000 Z=1.000,X=0.259 Y=0.993,(R=255,G=255,B=255,A=255)
X=120.000 Y=-0.000 Z=80.000,X=0.000 Y=0.000 Z=1.000,X=0.259 Y=0.563,(R=255,G=255,B=255,A=255)
X=120.000 Y=-0.000 Z=100.000,X=0.000 Y=0.000 Z=1.000,X=0.278 Y=0.563,(R=255,G=255,B=255,A=255)
X=120.000 Y=200.000 Z=100.000,X=0.000 Y=0.000 Z=1.000,X=0.278 Y=0.993,(R=255,G=255,B=255,A=255)
X=150.000 Y=200.000 Z=100.000,X=0.000 Y=0.000 Z=1.000,X=0.300 Y=0.993,(R=255,G=255,B=255,A=255)
X=150.000 Y=-0.000 Z=100.000,X=0.000 Y=0.000 Z=1.000,X=0.300 Y=0.563,(R=255,G=255,B=255,A=255)
X=300.000 Y=200.000 Z=200.000,X=0.000 Y=0.000 Z=1.000,X=0.552 Y=0.993,(R=255,G=255,B=255,A=255)
X=300.000 Y=-0.000 Z=200.000,X=0.000 Y=0.000 Z=1.000,X=0.552 Y=0.563,(R=255,G=255,B=255,A=255)
X=270.000 Y=-0.000 Z=200.000,X=0.000 Y=0.000 Z=1.000,X=0.524 Y=0.563,(R=255,G=255,B=255,A=255)
X=270.000 Y=200.000 Z=200.000,X=0.000 Y=0.000 Z=1.000,X=0.524 Y=0.993,(R=255,G=255,B=255,A=255)
X=270.000 Y=200.000 Z=180.000,X=0.000 Y=0.000 Z=1.000,X=0.499 Y=0.993,(R=255,G=255,B=255,A=255)
X=270.000 Y=-0.000 Z=180.000,X=0.000 Y=0.000 Z=1.000,X=0.499 Y=0.563,(R=255,G=255,B=255,A=255)
X=240.000 Y=-0.000 Z=180.000,X=0.000 Y=0.000 Z=1.000,X=0.471 Y=0.563,(R=255,G=255,B=255,A=255)
X=240.000 Y=200.000 Z=180.000,X=0.000 Y=0.000 Z=1.000,X=0.471 Y=0.993,(R=255,G=255,B=255,A=255)
X=210.000 Y=200.000 Z=160.000,X=0.000 Y=0.000 Z=1.000,X=0.413 Y=0.993,(R=255,G=255,B=255,A=255)
X=240.000 Y=200.000 Z=160.000,X=0.000 Y=0.000 Z=1.000,X=0.440 Y=0.993,(R=255,G=255,B=255,A=255)
X=240.000 Y=-0.000 Z=160.000,X=0.000 Y=0.000 Z=1.000,X=0.440 Y=0.563,(R=255,G=255,B=255,A=255)
X=210.000 Y=-0.000 Z=160.000,X=0.000 Y=0.000 Z=1.000,X=0.413 Y=0.563,(R=255,G=255,B=255,A=255)
X=210.000 Y=200.000 Z=140.000,X=0.000 Y=0.000 Z=1.000,X=0.391 Y=0.993,(R=255,G=255,B=255,A=255)
X=210.000 Y=-0.000 Z=140.000,X=0.000 Y=0.000 Z=1.000,X=0.391 Y=0.563,(R=255,G=255,B=255,A=255)
X=180.000 Y=-0.000 Z=140.000,X=0.000 Y=0.000 Z=1.000,X=0.368 Y=0.563,(R=255,G=255,B=255,A=255)
X=180.000 Y=200.000 Z=140.000,X=0.000 Y=0.000 Z=1.000,X=0.368 Y=0.993,(R=255,G=255,B=255,A=255)
X=30.000 Y=-0.000 Z=20.000,X=-1.000 Y=0.000 Z=0.000,X=0.080 Y=0.563,(R=255,G=255,B=255,A=255)
X=30.000 Y=200.000 Z=20.000,X=-1.000 Y=0.000 Z=0.000,X=0.080 Y=0.993,(R=255,G=255,B=255,A=255)
X=30.000 Y=200.000 Z=40.000,X=-1.000 Y=0.000 Z=0.000,X=0.120 Y=0.993,(R=255,G=255,B=255,A=255)
X=30.000 Y=-0.000 Z=40.000,X=-1.000 Y=0.000 Z=0.000,X=0.120 Y=0.563,(R=255,G=255,B=255,A=255)
X=60.000 Y=-0.000 Z=40.000,X=-1.000 Y=0.000 Z=0.000,X=0.156 Y=0.563,(R=255,G=255,B=255,A=255)
X=60.000 Y=200.000 Z=40.000,X=-1.000 Y=0.000 Z=0.000,X=0.156 Y=0.993,(R=255,G=255,B=255,A=255)
X=60.000 Y=200.000 Z=60.000,X=-1.000 Y=0.000 Z=0.000,X=0.192 Y=0.993,(R=255,G=255,B=255,A=255)
X=60.000 Y=-0.000 Z=60.000,X=-1.000 Y=0.000 Z=0.000,X=0.192 Y=0.563,(R=255,G=255,B=255,A=255)
X=90.000 Y=-0.000 Z=60.000,X=-1.000 Y=0.000 Z=0.000,X=0.219 Y=0.563,(R=255,G=255,B=255,A=255)
X=90.000 Y=200.000 Z=60.000,X=-1.000 Y=0.000 Z=0.000,X=0.219 Y=0.993,(R=255,G=255,B=255,A=255)
X=90.000 Y=200.000 Z=80.000,X=-1.000 Y=0.000 Z=0.000,X=0.244 Y=0.993,(R=255,G=255,B=255,A=255)
X=90.000 Y=-0.000 Z=80.000,X=-1.000 Y=0.000 Z=0.000,X=0.244 Y=0.563,(R=255,G=255,B=255,A=255)
X=120.000 Y=-0.000 Z=80.000,X=-1.000 Y=0.000 Z=0.000,X=0.259 Y=0.563,(R=255,G=255,B=255,A=255)
X=120.000 Y=200.000 Z=80.000,X=-1.000 Y=0.000 Z=0.000,X=0.259 Y=0.993,(R=255,G=255,B=255,A=255)
X=120.000 Y=200.000 Z=100.000,X=-1.000 Y=0.000 Z=0.000,X=0.278 Y=0.993,(R=255,G=255,B=255,A=255)
X=120.000 Y=-0.000 Z=100.000,X=-1.000 Y=0.000 Z=0.000,X=0.278 Y=0.563,(R=255,G=255,B=255,A=255)
X=150.000 Y=-0.000 Z=100.000,X=-1.000 Y=0.000 Z=0.000,X=0.300 Y=0.563,(R=255,G=255,B=255,A=255)
X=150.000 Y=200.000 Z=100.000,X=-1.000 Y=0.000 Z=0.000,X=0.300 Y=0.993,(R=255,G=255,B=255,A=255)
X=150.000 Y=200.000 Z=120.000,X=-1.000 Y=0.000 Z=0.000,X=0.323 Y=0.993,(R=255,G=255,B=255,A=255)
X=150.000 Y=-0.000 Z=120.000,X=-1.000 Y=0.000 Z=0.000,X=0.323 Y=0.563,(R=255,G=255,B=255,A=255)
X=180.000 Y=-0.000 Z=120.000,X=-1.000 Y=0.000 Z=0.000,X=0.347 Y=0.563,(R=255,G=255,B=255,A=255)
X=180.000 Y=200.000 Z=120.000,X=-1.000 Y=0.000 Z=0.000,X=0.347 Y=0.993,(R=255,G=255,B=255,A=255)
X=180.000 Y=200.000 Z=140.000,X=-1.000 Y=0.000 Z=0.000,X=0.368 Y=0.993,(R=255,G=255,B=255,A=255)
X=180.000 Y=-0.000 Z=140.000,X=-1.000 Y=0.000 Z=0.000,X=0.368 Y=0.563,(R=255,G=255,B=255,A=255)
X=210.000 Y=-0.000 Z=140.000,X=-1.000 Y=0.000 Z=0.000,X=0.391 Y=0.563,(R=255,G=255,B=255,A=255)
X=210.000 Y=200.000 Z=140.000,X=-1.000 Y=0.000 Z=0.000,X=0.391 Y=0.993,(R=255,G=255,B=255,A=255)
X=210.000 Y=200.000 Z=160.000,X=-1.000 Y=0.000 Z=0.000,X=0.413 Y=0.993,(R=255,G=255,B=255,A=255)
X=210.000 Y=-0.000 Z=160.000,X=-1.000 Y=0.000 Z=0.000,X=0.413 Y=0.563,(R=255,G=255,B=255,A=255)
X=240.000 Y=-0.000 Z=160.000,X=-1.000 Y=0.000 Z=0.000,X=0.440 Y=0.563,(R=255,G=255,B=255,A=255)
X=240.000 Y=200.000 Z=160.000,X=-1.000 Y=0.000 Z=0.000,X=0.440 Y=0.993,(R=255,G=255,B=255,A=255)
X=240.000 Y=200.000 Z=180.000,X=-1.000 Y=0.000 Z=0.000,X=0.471 Y=0.993,(R=255,G=255,B=255,A=255)
X=240.000 Y=-0.000 Z=180.000,X=-1.000 Y=0.000 Z=0.000,X=0.471 Y=0.563,(R=255,G=255,B=255,A=255)
X=270.000 Y=-0.000 Z=180.000,X=-1.000 Y=0.000 Z=0.000,X=0.499 Y=0.563,(R=255,G=255,B=255,A=255)
X=270.000 Y=200.000 Z=180.000,X=-1.000 Y=0.000 Z=0.000,X=0.499 Y=0.993,(R=255,G=255,B=255,A=255)
X=270.000 Y=200.000 Z=200.000,X=-1.000 Y=0.000 Z=0.000,X=0.524 Y=0.993,(R=255,G=255,B=255,A=255)
X=270.000 Y=-0.000 Z=200.000,X=-1.000 Y=0.000 Z=0.000,X=0.524 Y=0.563,(R=255,G=255,B=255,A=255)
